,start,end,pattern
0,2020-01-06 13:15:00,2020-01-06 14:50:00,Double Bottom
1,2020-01-07 12:00:00,2020-01-07 14:05:00,Head and shoulders
2,2020-01-09 10:15:00,2020-01-09 11:35:00,Double Top
3,2020-01-16 12:05:00,2020-01-16 14:15:00,Reverse Head and shoulders
4,2020-01-17 12:25:00,2020-01-17 13:35:00,Double Top
5,2020-01-21 12:35:00,2020-01-21 14:40:00,Reverse Head and shoulders
6,2020-01-27 13:05:00,2020-01-27 14:30:00,Double Top
7,2020-01-28 12:15:00,2020-01-28 13:25:00,Double Top
8,2020-01-29 11:20:00,2020-01-29 13:20:00,Head and shoulders
9,2020-02-12 11:30:00,2020-02-12 13:10:00,Reverse Head and shoulders
10,2020-02-14 10:40:00,2020-02-14 12:50:00,Head and shoulders
11,2020-02-18 10:10:00,2020-02-18 11:30:00,Double Top
12,2020-02-25 12:25:00,2020-02-25 14:30:00,Reverse Head and shoulders
13,2020-02-26 12:35:00,2020-02-26 14:05:00,Double Bottom
14,2020-02-27 10:40:00,2020-02-27 12:05:00,Double Top
15,2020-03-04 13:50:00,2020-03-04 14:55:00,Double Bottom
16,2020-03-05 10:00:00,2020-03-05 12:15:00,Head and shoulders
17,2020-03-18 12:50:00,2020-03-18 14:25:00,Double Top
18,2020-03-19 10:25:00,2020-03-19 12:35:00,Head and shoulders
19,2020-03-20 12:25:00,2020-03-20 14:15:00,Reverse Head and shoulders
20,2020-03-25 10:50:00,2020-03-25 12:55:00,Head and shoulders
21,2020-03-31 10:10:00,2020-03-31 11:20:00,Double Bottom
22,2020-04-03 10:50:00,2020-04-03 12:05:00,Double Top
23,2020-04-09 11:15:00,2020-04-09 12:25:00,Double Bottom
24,2020-04-14 11:20:00,2020-04-14 13:05:00,Head and shoulders
25,2020-04-16 13:15:00,2020-04-16 14:35:00,Double Top
26,2020-04-24 11:15:00,2020-04-24 12:40:00,Double Bottom
27,2020-04-28 10:50:00,2020-04-28 12:45:00,Reverse Head and shoulders
28,2020-04-29 11:00:00,2020-04-29 12:30:00,Double Top
29,2020-05-05 10:05:00,2020-05-05 12:05:00,Head and shoulders
30,2020-05-07 11:20:00,2020-05-07 13:10:00,Reverse Head and shoulders
31,2020-05-11 11:25:00,2020-05-11 13:30:00,Reverse Head and shoulders
32,2020-05-12 11:20:00,2020-05-12 13:30:00,Reverse Head and shoulders
33,2020-05-14 13:00:00,2020-05-14 14:55:00,Head and shoulders
34,2020-05-15 13:30:00,2020-05-15 14:45:00,Double Top
35,2020-05-18 10:40:00,2020-05-18 12:45:00,Head and shoulders
36,2020-05-21 10:00:00,2020-05-21 11:35:00,Double Bottom
37,2020-05-28 12:45:00,2020-05-28 14:55:00,Head and shoulders
38,2020-06-01 10:55:00,2020-06-01 12:40:00,Head and shoulders
39,2020-06-12 11:40:00,2020-06-12 13:30:00,Head and shoulders
40,2020-06-15 12:50:00,2020-06-15 14:50:00,Head and shoulders
41,2020-06-26 10:10:00,2020-06-26 11:55:00,Reverse Head and shoulders
42,2020-06-30 12:50:00,2020-06-30 14:15:00,Double Top
43,2020-07-14 10:15:00,2020-07-14 12:20:00,Head and shoulders
44,2020-07-16 12:55:00,2020-07-16 14:05:00,Double Top
45,2020-07-20 10:20:00,2020-07-20 11:30:00,Double Top
46,2020-07-21 12:05:00,2020-07-21 13:25:00,Double Top
47,2020-07-22 10:05:00,2020-07-22 11:45:00,Head and shoulders
48,2020-07-28 10:10:00,2020-07-28 12:00:00,Head and shoulders
49,2020-07-29 12:30:00,2020-07-29 13:50:00,Double Top
50,2020-07-30 10:50:00,2020-07-30 12:15:00,Double Top
51,2020-07-31 10:10:00,2020-07-31 12:05:00,Head and shoulders
52,2020-08-04 10:00:00,2020-08-04 11:45:00,Reverse Head and shoulders
53,2020-08-05 10:55:00,2020-08-05 12:50:00,Reverse Head and shoulders
